approach,term,vocabulary
Repetitive Transcranial Magnetic Stimulation,Repetitive Transcranial Magnetic Stimulation,"Natrual Medicine,Integrative Nursing, NCCIH, Lindquist"
Restorative therapy,Restorative therapy,"ntegrative Nursing, NCCIH, Lindquist"
Rolfing,Rolfing,"Natrual Medicine,Integrative Nursing, NCCIH, Lindquist"
Rolfing,Rolfing Therapy,Natrual Medicine
Rolfing,Rolfing Method,Natrual Medicine
Saunas,Saunas,"Integrative Nursing, NCCIH, Lindquist"
Seeking support,Seeking support,Integrative Nursing
self-care,self-care,Integrative Nursing
self-help groups,self-help groups,Integrative Nursing
self-help materials,self-help materials,"SNOMED, Integrative Nursing, Duke, Cochrane"
Self-hypnosis,Self-hypnosis,"Natrual Medicine,Integrative Nursing"
Shamanism medicine,Shamanism medicine,"Natrual Medicine,ABC, MESH, Cochrane"
Shiatsu,Shiatsu,"Natrual Medicine,Integrative Nursing, NCCIH, Lindquist, Cochrane"
Shiatsu,Shiatsu Therapy,Natrual Medicine
Shiatsu,Movement Shiatsu,Natrual Medicine
Shiatsu,Shiatsu Massage,Natrual Medicine
Shiatsu,Shi-astsu,Natrual Medicine
Shirodhara,Shirodhara,Natrual Medicine
Shirodhara,Shirodhara Therapy,Natrual Medicine
Shirodhara,Shiro Dhara,Natrual Medicine
Silence,Silence,Integrative Nursing
Social support,Social support,"Natrual Medicine,Duke"
Sophrology,Sophrology,Duke
Sound Healing,Sound Healing,"Natrual Medicine,Integrative Nursing, NCCIH, Lindquist"
Sound Therapy,Sound Therapy,Duke
"Spa: Rejuvenating mind, body and spirit","Spa: Rejuvenating mind, body and spirit","Integrative Nursing, NCCIH, Lindquist"
Spinal manipulation,Spinal manipulation,"Natrual Medicine,Mayo, Cochrane"
Spinal Manipulative Therapy,Spinal Manipulative Therapy,Natrual Medicine
Spiritual healing,Spiritual healing,"Cochrane,Duke,"
Spiritual intervention,Spiritual intervention,Natrual Medicine
Supportive-expressive therapy,Supportive-expressive therapy,Integrative Nursing
Tai Chi,Tai Chi,"Natrual Medicine,Integrative Nursing,Integrative Nursing, NCCIH, Lindquist, Mayo, Duke, Cochrane,Mayo"
Tai Chi,Taiji,Natrual Medicine
Tai Chi,Tai Chi Chih,Natrual Medicine
Tai Chi,Tai Chi Martial Arts,Natrual Medicine
Tai Chi,Taijiquan,Natrual Medicine
Tai Chi,Tai Ji Quan,Natrual Medicine
Tai Chi,Tie Chee,"Natrual Medicine,Cochrane"
Tai Chi,Tai-Chi,Natrual Medicine
Tai Chi,Taichi Quan,Natrual Medicine
Tai Chi,Tai Chi Chuan,Natrual Medicine
Therapeutic listening,Therapeutic listening,"Natrual Medicine,Integrative Nursing, Duke"
Therapeutic relationship,Therapeutic relationship,"Natrual Medicine,Integrative Nursing"
Thought Field Therapy,Thought Field Therapy,Natrual Medicine
Tibetan Medicine,Tibetan Medicine,"Natrual Medicine,Duke,Cochrane"
Traditional Chinese medicine,Traditional Chinese medicine,"Natrual Medicine,Integrative Nursing, NCCIH, Mayo, Duke,Cochrane"
Traditional healers,Traditional healers,"Natrual Medicine,NCCIH"
Trager psychophysical Integration,Trager psychophysical Integration,"Natrual Medicine,NCCIH"
Trager Therapy,Trager Therapy,Natrual Medicine
Trager Therapy,Trager Approach,Natrual Medicine
Trager Therapy,Trager Movement Therapy,Natrual Medicine
Trager Therapy,Trager Therapeutics,Natrual Medicine
Trager Therapy,Approche Trager,Natrual Medicine
Trager Therapy,Trager Bodywork,Natrual Medicine
Trager Therapy,Trager,Natrual Medicine
Trager Therapy,Trager Manipulation,Natrual Medicine
Trager Therapy,Trager Technique,Natrual Medicine
Transcranial Direct Current Stimulation,Transcranial Direct Current Stimulation,"Natrual Medicine,Cochrane"
Transcutaneous Electrical Acustimulation,Transcutaneous Electrical Acustimulation,Natrual Medicine
Transcutaneous Electrical Acustimulation,Acupuncture-like Transcutaneous Electrical Nerve Stimulation,Natrual Medicine
Transcutaneous Electrical Acustimulation,Transcutaneous Electrical Acupoint Stimulation,Natrual Medicine
Trigger point massage,Trigger point massage,"Natrual Medicine,Integrative Nursing, NCCIH, Lindquist, Cochrane"
Trigger point massage,Trigger point myotherapy,"Natrual Medicine, Integrative Nursing, NCCIH, Lindquist, Cochrane"
Trigger Point Therapy,Trigger Point Therapy,Natrual Medicine
Trigger Point Therapy,Myofascial Trigger Point Therapy,Natrual Medicine
