approach,term,vocabulary
Trigger point massage,Trigger point myotherapy,"Natural Medicines, Integrative Nursing, NCCIH, Lindquist, Cochrane"
Trigger Point Therapy,Trigger Point Therapy,Natural Medicines
Trigger Point Therapy,Myofascial Trigger Point Therapy,Natural Medicines
Ultrasonic therapy,Ultrasonic therapy,"Natural Medicines,Integrative Nursing, NCCIH, Lindquist"
Vega testing,Vega testing,Cochrane
Visualization techniques,Visualization techniques,Cochrane
Vojta method,Vojta method,Cochrane
Yoga,Yoga,"Natural Medicines,Integrative Nursing, NCCIH, Lindquist, Mayo, Cochrane"
Yogoda,Yogoda,Natural Medicines
Zero Balancing,Zero Balancing,"Natural Medicines,Cochrane"
Zero Balancing,Core Zero Balancing,Natural Medicines
Vibration Therapy,Vibration Therapy,Natural Medicines
Vibration Therapy,Vibration Medicine,Natural Medicines
Vibration Therapy,Vibrational Medicine,Natural Medicines
Vibration Therapy,Vibrational Therapy,Natural Medicines
Vibration Therapy,Vibrotherapy,Natural Medicines
Korean Acupuncture,Korean Acupuncture,Natural Medicines
Single Point Acupuncture,Single Point Acupuncture,Natural Medicines
Ear acupuncture,Laser Acupuncture,"Natural Medicines,SNOMED, Cochrane"
Ear acupuncture,Ear acupuncture,Natural Medicines
Ear acupuncture,Auricular Acupuncture,"Natural Medicines,MESH, Cochrane, Duke, Lindquist"
Ear acupuncture,Acuponcture Auriculaire,"Natural Medicines,SNOMED, Cochrane"
Acuponcture Japonaise,Acuponcture Japonaise,Natural Medicines
Acuponcture de l'Oreille,Acuponcture de l'Oreille,Natural Medicines
Trigger Point Acupuncture,Trigger Point Acupuncture,"Natural Medicines,Integrative Nursing, NCCIH, MESH, Mayo, Duke, Cochrane"
Japanese Acupuncture,Japanese Acupuncture,Natural Medicines
Acuponcture de la Main,Acuponcture de la Main,Natural Medicines
Acuponcture Occidentale,Acuponcture Occidentale,Natural Medicines
Hand Acupuncture,Hand Acupuncture,Natural Medicines
Foot Acupuncture,Foot Acupuncture,Natural Medicines
Needle Moxibustion,Needle Moxibustion,Natural Medicines
Acuponcture du Pied,Acuponcture du Pied,Natural Medicines
electro acupuncture,electro acupuncture,Natural Medicines
acupoint stimulation,acupoint stimulation,Natural Medicines
Alexander Proprioception,Alexander Proprioception,Natural Medicines
Animal Companionship,Animal Companionship,Natural Medicines
Equine-Assisted Therapy,Equine-Assisted Therapy,Natural Medicines
Animal Visitation,Animal Visitation,Natural Medicines
Dolphin-Assisted Therapy,Dolphin-Assisted Therapy,Natural Medicines
Canine-Assisted Ambulation,Canine-Assisted Ambulation,Natural Medicines
Companion Animal Therapy,Companion Animal Therapy,Natural Medicines
Psychoeducational Horseback Riding,Psychoeducational Horseback Riding,Natural Medicines
Animals In Human Therapy,Animals In Human Therapy,Natural Medicines
Canine Visitation Therapy,Canine Visitation Therapy,"Natural Medicines,Integrative Nursing, NCCIH, Lindquist"
Kinesiology Muscle Test,Kinesiology Muscle Test,Natural Medicines
Aqua Lymphatic Therapy,Aqua Lymphatic Therapy,Natural Medicines
Huiles Aromatiques,Huiles Aromatiques,Natural Medicines
Aromatic Oils,Aromatic Oils,Natural Medicines
Huiles Essentielles,Huiles Essentielles,Natural Medicines
Traitement par les Essences de Plantes,Traitement par les Essences de Plantes,Natural Medicines
Scent Therapy,Scent Therapy,Natural Medicines
Essential Oils,Essential Oils,Natural Medicines
5H program,5H program,Natural Medicines
pottery,pottery,Duke
Visual Art Therapy,Visual Art Therapy,"Natural Medicines,Integrative Nursing, NCCIH, Mayo, Duke, Cochrane"
Phenomenological Art Therapy,Phenomenological Art Therapy,Natural Medicines
Mindfulness Based Art Therapy,Mindfulness Based Art Therapy,Natural Medicines
Psychodynamic Group Art Therapy,Psychodynamic Group Art Therapy,"Natural Medicines,Integrative Nursing, Lindquist, Mayo, Duke, Cochrane"
Creative Arts Therapy,Creative Arts Therapy,Natural Medicines
Creative Arts Intervention,Creative Arts Intervention,"Natural Medicines,Integrative Nursing, NCCIH, Lindquist"
